AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,label
2.315335,1.065405,0.359711,0.346126,0.070362,2.547958,1.746112,0.534672,0.376391,0.11251,0.551022,1.713648,1.450415,0.83819,0.10119,0.45321,0.241064,0.116093,0.156013,0.095467,1.199529,1.244696,0.128828,0.27947,0.11657,0.426158,1.419932,0.413905,0.255462,0.165379,0.68985,2.312921,0.916717,0.457584,0.193897,0.873086,3.020325,0.94145,0.562807,0.134143,0.527455,2.331689,1.06338,0.720478,0.156706,0.557824,2.759856,1.962898,0.926751,0.105365,1.527785,2.87406,1.323005,0.724055,0.125468,0.605464,2.904715,1.662579,0.940839,0.137053,0
2.236637,1.077569,0.403704,0.362519,0.074507,2.721349,1.826972,0.56732,0.410333,0.113115,0.678436,1.72606,1.495145,0.875968,0.114156,0.432563,0.261002,0.12181,0.158753,0.096569,1.180664,1.192034,0.180586,0.309376,0.11583,0.420692,1.429639,0.34913,0.282806,0.168023,0.784531,2.396901,0.863019,0.530232,0.19935,1.04477,3.221985,0.890668,0.635782,0.137705,0.689829,2.538977,1.087635,0.788122,0.171726,0.725554,2.787242,2.095667,0.974697,0.115505,2.184816,3.030633,1.417834,0.79374,0.138354,0.856312,3.04087,1.70795,0.983751,0.137223,0
1.98807,1.008814,0.412406,0.34527,0.075442,2.757183,1.757939,0.579433,0.423532,0.109328,0.82212,1.635234,1.410605,0.842204,0.125548,0.404569,0.26364,0.129705,0.159912,0.094653,1.139628,1.015958,0.248822,0.323477,0.111959,0.439085,1.353178,0.306523,0.29599,0.167036,0.858713,2.360935,0.736408,0.561645,0.200704,1.191674,3.329767,0.772511,0.653501,0.144128,0.925732,2.620236,1.013974,0.779564,0.187967,0.926623,2.677855,2.008918,0.942477,0.124205,2.93535,3.061345,1.390493,0.800484,0.153566,1.169485,2.997855,1.621016,0.936174,0.135198,0
2.354278,0.883218,0.378319,0.303914,0.072628,2.676252,1.558571,0.585525,0.419672,0.101756,0.947557,1.473365,1.219739,0.768923,0.133714,0.373466,0.252496,0.14381,0.161962,0.090623,1.058086,0.787232,0.324883,0.320696,0.106641,0.423811,1.201709,0.278536,0.29019,0.161764,0.880859,2.221435,0.575695,0.545527,0.197439,1.263379,3.328391,0.627292,0.607669,0.151548,1.18981,2.56261,0.878599,0.70576,0.203621,1.113491,2.459604,1.734697,0.85161,0.132218,3.590263,2.937606,1.252922,0.75035,0.168168,1.476164,2.787178,1.427762,0.824397,0.134543,0
2.967866,0.740849,0.315505,0.256447,0.066692,2.510756,1.281481,0.592914,0.407882,0.09238,1.024852,1.28069,0.972714,0.701764,0.139056,0.34905,0.23578,0.166427,0.165025,0.086108,0.948862,0.587027,0.395402,0.305996,0.102239,0.364277,1.00727,0.258173,0.267342,0.152106,0.853188,2.013566,0.430727,0.494777,0.188515,1.251181,3.206938,0.503369,0.515064,0.156605,1.46092,2.377342,0.735758,0.59749,0.217465,1.257663,2.161932,1.357408,0.741507,0.141368,4.110429,2.657598,1.057729,0.665528,0.17982,1.732146,2.460835,1.1783,0.692782,0.137998,0
4.311633,0.609991,0.23886,0.219123,0.058871,2.303633,0.994338,0.5979,0.396645,0.084251,1.028947,1.092972,0.730083,0.673524,0.142843,0.342263,0.224148,0.193901,0.166531,0.082442,0.827437,0.47504,0.451008,0.284791,0.100877,0.28241,0.816132,0.241177,0.234082,0.138688,0.795634,1.777994,0.330515,0.430835,0.173447,1.178426,2.964245,0.425861,0.405847,0.156278,1.686683,2.096944,0.624716,0.486457,0.228039,1.332905,1.816998,0.975679,0.64804,0.152041,4.440142,2.267278,0.861442,0.569537,0.186952,1.887791,2.084678,0.925435,0.580721,0.145215,0
5.370247,0.509357,0.175625,0.202163,0.051004,2.143143,0.750743,0.59868,0.392957,0.080214,0.959524,0.934421,0.547793,0.691669,0.145932,0.354676,0.222906,0.220574,0.163503,0.079997,0.706774,0.465944,0.49205,0.261594,0.104164,0.204514,0.669265,0.229003,0.199665,0.122766,0.727268,1.551777,0.282882,0.375358,0.153471,1.076287,2.634096,0.395335,0.312031,0.149804,1.823255,1.780151,0.560812,0.398497,0.232879,1.316671,1.469008,0.668409,0.595661,0.162113,4.55519,1.861882,0.705608,0.485405,0.189114,1.906874,1.719319,0.715435,0.515938,0.153135,0
7.159596,0.437952,0.136843,0.208425,0.045123,2.079625,0.571027,0.604967,0.403332,0.081662,0.858372,0.808002,0.456681,0.745061,0.148631,0.377908,0.228266,0.242942,0.155004,0.077947,0.605734,0.53655,0.527986,0.23818,0.1124,0.150226,0.595849,0.231343,0.17319,0.106183,0.652467,1.372662,0.285814,0.34445,0.132159,0.966926,2.287815,0.397741,0.257421,0.139551,1.831583,1.496213,0.528872,0.349314,0.229493,1.23707,1.169912,0.468148,0.598776,0.168118,4.386582,1.548692,0.603686,0.433766,0.187509,1.83033,1.407319,0.569333,0.514372,0.158265,0
7.312748,0.389168,0.12944,0.233106,0.043047,2.147553,0.449481,0.630299,0.431179,0.088061,0.769479,0.707769,0.456998,0.816231,0.150704,0.398708,0.230002,0.26268,0.142464,0.075934,0.54669,0.653418,0.565301,0.21419,0.124439,0.138361,0.610378,0.255322,0.160046,0.092115,0.588257,1.275267,0.325158,0.343263,0.114701,0.870203,2.019433,0.417971,0.250238,0.130366,1.713622,1.313783,0.50145,0.345815,0.217213,1.138405,0.96731,0.369665,0.661606,0.167555,3.979067,1.416611,0.552723,0.429269,0.185367,1.742946,1.184181,0.487618,0.578662,0.158696,0
7.717932,0.354007,0.142354,0.268432,0.04592,2.284494,0.38821,0.68466,0.475482,0.097719,0.712037,0.62498,0.517464,0.894847,0.153242,0.405038,0.219686,0.287281,0.12901,0.075763,0.548783,0.787848,0.600767,0.189123,0.138147,0.178719,0.701163,0.298079,0.161074,0.084255,0.550941,1.271323,0.382708,0.366389,0.106074,0.785796,1.907747,0.450809,0.281776,0.127202,1.50656,1.282503,0.467968,0.389779,0.198375,1.060068,0.874028,0.341267,0.781434,0.161491,3.441038,1.520622,0.546541,0.47696,0.187004,1.687589,1.070287,0.452655,0.701237,0.156074,0
6.385433,0.332862,0.16292,0.309406,0.053955,2.432195,0.392976,0.759403,0.529632,0.108902,0.697163,0.567345,0.605723,0.985449,0.159719,0.39184,0.196973,0.324204,0.118286,0.080328,0.614904,0.918887,0.621921,0.164065,0.15082,0.263217,0.825104,0.346385,0.174274,0.085012,0.553629,1.339357,0.439993,0.404289,0.108906,0.714561,1.97322,0.497647,0.335449,0.133015,1.279107,1.41167,0.44664,0.479807,0.178793,1.030923,0.862234,0.357993,0.950787,0.155579,2.962124,1.865654,0.585775,0.571356,0.196638,1.685882,1.059985,0.444902,0.867329,0.155393,0
5.263491,0.330212,0.183828,0.351522,0.066379,2.59002,0.478596,0.832941,0.58082,0.120368,0.723611,0.564156,0.711023,1.089364,0.173614,0.35815,0.169043,0.375213,0.112097,0.091614,0.731716,1.023632,0.61156,0.143171,0.159643,0.369794,0.918481,0.380589,0.195717,0.093798,0.594563,1.42801,0.479529,0.447168,0.1217,0.684234,2.163342,0.557161,0.394106,0.146736,1.126884,1.656758,0.473621,0.602205,0.165727,1.06671,0.889573,0.426081,1.142853,0.156478,2.91463,2.380086,0.678072,0.693137,0.216477,1.749202,1.125774,0.47,1.044603,0.161273,0
3.941645,0.345464,0.201673,0.388277,0.081576,2.715148,0.642466,0.877538,0.613377,0.131441,0.791168,0.640805,0.827612,1.19356,0.195647,0.308662,0.144354,0.432376,0.109932,0.108885,0.873976,1.073476,0.559508,0.130376,0.162749,0.471842,0.938531,0.386158,0.219186,0.107375,0.647065,1.479017,0.487671,0.485905,0.139546,0.656101,2.367827,0.616487,0.445188,0.163454,1.06108,1.928603,0.57091,0.730789,0.165187,1.151548,0.928939,0.550722,1.314903,0.167373,3.313927,2.949944,0.825734,0.811529,0.245997,1.845898,1.229,0.54465,1.187891,0.174843,0
2.751547,0.370593,0.216593,0.412292,0.097351,2.746552,0.845003,0.869093,0.61201,0.14158,0.891963,0.790127,0.940047,1.273611,0.222097,0.255063,0.127472,0.478916,0.109882,0.128254,0.983808,1.04615,0.473411,0.126375,0.159959,0.539184,0.875289,0.357931,0.237305,0.121667,0.682625,1.447793,0.4615,0.511862,0.156284,0.654966,2.466681,0.662812,0.482879,0.177389,1.140451,2.119121,0.719579,0.837391,0.178525,1.272861,0.96197,0.711462,1.426562,0.186655,4.108039,3.418084,1.009215,0.897212,0.281669,1.949343,1.319326,0.671015,1.260225,0.193467,0
2.289452,0.39306,0.227591,0.418658,0.111647,2.665147,1.02262,0.798441,0.57171,0.150607,0.99898,0.961068,1.022527,1.311682,0.246899,0.207351,0.118616,0.497832,0.109597,0.144873,1.014641,0.941211,0.374178,0.127979,0.153408,0.55973,0.755998,0.302823,0.244978,0.133921,0.664224,1.318256,0.408047,0.518336,0.167446,0.643631,2.382295,0.681046,0.505244,0.184637,1.286073,2.134304,0.860872,0.90156,0.20129,1.373506,0.965788,0.855057,1.458112,0.209082,4.905888,3.630638,1.171401,0.931014,0.315596,1.998067,1.340476,0.816925,1.252235,0.212439,0
1.544574,0.399409,0.234863,0.407115,0.12299,2.441539,1.11174,0.676764,0.501766,0.158608,1.078383,1.078604,1.050399,1.303306,0.263766,0.177363,0.116185,0.480269,0.107779,0.155679,0.945618,0.781927,0.284556,0.130985,0.146997,0.549446,0.632216,0.238002,0.24301,0.144461,0.588054,1.107188,0.343534,0.503759,0.171991,0.628378,2.104306,0.663142,0.51272,0.184604,1.45842,1.932569,0.931802,0.916282,0.225239,1.432183,0.913587,0.924638,1.414742,0.227879,5.391674,3.493183,1.252215,0.910142,0.337555,1.984733,1.253936,0.931592,1.18302,0.227487,0
1.238692,0.388771,0.244631,0.380716,0.130535,2.081366,1.086216,0.533841,0.423064,0.165266,1.119269,1.085471,1.011262,1.252096,0.267617,0.176134,0.122248,0.430284,0.105575,0.160446,0.816544,0.61432,0.221164,0.134815,0.144276,0.544674,0.561004,0.183307,0.236899,0.155872,0.494612,0.867509,0.288893,0.472426,0.171839,0.617689,1.708777,0.622123,0.507471,0.179594,1.556713,1.551131,0.903426,0.887284,0.241074,1.439682,0.795182,0.887128,1.315334,0.237219,5.289303,3.027986,1.22564,0.849943,0.339488,1.936843,1.063969,0.974789,1.084196,0.235632,0
1.038892,0.368873,0.259083,0.344303,0.134223,1.658071,0.974582,0.413636,0.359749,0.169174,1.132595,0.986724,0.915898,1.169922,0.257223,0.208791,0.141706,0.362754,0.106601,0.160966,0.675776,0.482617,0.191769,0.142009,0.146474,0.581116,0.576353,0.150953,0.233281,0.169902,0.444856,0.660879,0.257721,0.433636,0.170171,0.648158,1.321696,0.580706,0.492398,0.17289,1.567889,1.104141,0.799047,0.827318,0.242847,1.415603,0.639086,0.761414,1.182304,0.234955,4.616116,2.365718,1.11346,0.771789,0.318858,1.919079,0.836224,0.946936,0.981958,0.235641,0
0.87369,0.349601,0.278823,0.303088,0.13459,1.26819,0.852167,0.348211,0.326331,0.168065,1.116278,0.841881,0.798694,1.070508,0.235682,0.26879,0.175515,0.292856,0.113357,0.159184,0.580995,0.403005,0.192423,0.155362,0.151222,0.679276,0.668892,0.142406,0.235725,0.185307,0.493495,0.532169,0.25141,0.39645,0.169045,0.743388,1.046247,0.554537,0.470666,0.166628,1.487468,0.709128,0.675025,0.755845,0.231906,1.359301,0.493638,0.612764,1.037757,0.223618,3.583625,1.680225,0.970096,0.700568,0.280699,1.945962,0.65561,0.880285,0.888889,0.2289,0
0.884143,0.336298,0.29752,0.260758,0.132172,1.011395,0.796833,0.345789,0.320705,0.160643,1.081585,0.734905,0.695251,0.957375,0.208301,0.341838,0.218446,0.232755,0.125628,0.156204,0.566143,0.376664,0.210918,0.174503,0.154364,0.848405,0.802436,0.151768,0.243803,0.198073,0.663947,0.495871,0.265202,0.366218,0.168897,0.905837,0.919604,0.551583,0.447335,0.161196,1.384241,0.436664,0.59331,0.693858,0.215187,1.282954,0.404159,0.513729,0.896219,0.208443,2.497972,1.108281,0.855968,0.657381,0.235324,1.994121,0.579682,0.81456,0.801634,0.218338,0
1.029293,0.33183,0.308938,0.219312,0.12728,0.93175,0.841847,0.400937,0.327164,0.148472,1.036541,0.72856,0.632688,0.827902,0.180834,0.405983,0.260527,0.190968,0.140695,0.151942,0.647111,0.40383,0.235545,0.195782,0.152595,1.082148,0.93217,0.173093,0.254959,0.203359,0.947219,0.530011,0.292378,0.34578,0.169224,1.127391,0.900193,0.571384,0.428331,0.156266,1.318086,0.295138,0.590891,0.656807,0.201072,1.196768,0.393991,0.513469,0.764933,0.194405,1.699021,0.709206,0.807324,0.648382,0.194271,2.038828,0.620904,0.78361,0.70892,0.207267,0
1.446582,0.342357,0.309721,0.180763,0.120141,1.003566,0.956246,0.499164,0.330016,0.135768,0.991459,0.833762,0.616422,0.685822,0.158155,0.439992,0.28977,0.170528,0.155691,0.145669,0.791295,0.477392,0.257293,0.212933,0.144865,1.343738,1.017404,0.204729,0.267052,0.198367,1.274504,0.591599,0.329142,0.339147,0.169668,1.359119,0.920809,0.613478,0.41923,0.152231,1.320379,0.26184,0.666167,0.653083,0.195022,1.10011,0.465661,0.624504,0.65308,0.184215,1.286222,0.478261,0.824776,0.666986,0.166584,2.004552,0.753905,0.804726,0.608328,0.198445,0
1.891396,0.367934,0.298059,0.146261,0.111093,1.133391,1.073562,0.604931,0.322027,0.126679,0.957019,1.007854,0.623148,0.543904,0.142429,0.432643,0.298207,0.169564,0.170079,0.13712,0.949357,0.580065,0.270876,0.220602,0.132707,1.595765,1.038141,0.246639,0.280065,0.184278,1.578267,0.633925,0.373441,0.351175,0.170182,1.56087,0.913921,0.681549,0.421521,0.150582,1.387801,0.292836,0.78525,0.67501,0.197742,0.996309,0.593301,0.818292,0.56651,0.177342,1.24286,0.347355,0.88853,0.696601,0.15564,1.857994,0.925279,0.864127,0.506716,0.192352,0
2.766511,0.405111,0.277734,0.116183,0.101637,1.179334,1.128721,0.692192,0.307219,0.123999,0.925595,1.175293,0.630052,0.420006,0.133471,0.387373,0.286405,0.189671,0.184503,0.127836,1.06731,0.690988,0.277752,0.2173,0.119562,1.784821,0.998864,0.295424,0.294222,0.165627,1.781462,0.630697,0.423393,0.381971,0.17087,1.681025,0.854955,0.77561,0.43068,0.153403,1.459732,0.355971,0.904504,0.705247,0.207181,0.884192,0.731547,1.050213,0.506604,0.172432,1.427671,0.262414,0.973195,0.716443,0.159481,1.610703,1.073817,0.944942,0.416382,0.188305,0
3.290452,0.442662,0.257714,0.091965,0.093996,1.09922,1.088765,0.754958,0.296715,0.12855,0.885721,1.273678,0.637428,0.332363,0.130107,0.318724,0.258644,0.22906,0.198989,0.12042,1.11195,0.780949,0.27982,0.205703,0.108404,1.866127,0.908861,0.34112,0.308557,0.147299,1.844632,0.578007,0.472063,0.426018,0.171194,1.69564,0.764322,0.880997,0.439421,0.161578,1.493877,0.442062,1.000382,0.726771,0.220413,0.765008,0.844056,1.277587,0.471596,0.169297,1.737389,0.216297,1.062104,0.713414,0.172766,1.301091,1.167221,1.042056,0.350806,0.185699,0
3.533622,0.467654,0.244998,0.075522,0.089872,0.923784,0.972938,0.797972,0.296074,0.13822,0.83015,1.277202,0.654944,0.287249,0.130484,0.247088,0.221313,0.283036,0.21136,0.117115,1.077316,0.831234,0.277911,0.190499,0.100835,1.811467,0.782304,0.372777,0.320632,0.132396,1.764161,0.49368,0.507235,0.471479,0.169776,1.603835,0.677901,0.967512,0.442686,0.173417,1.461231,0.542584,1.066283,0.72465,0.234433,0.645571,0.909892,1.452455,0.450111,0.168629,2.07291,0.20967,1.14883,0.685218,0.189447,0.984443,1.195922,1.148776,0.314343,0.184358,0
3.533224,0.466244,0.241326,0.067839,0.089418,0.69834,0.823779,0.824945,0.302569,0.149146,0.757897,1.196496,0.68934,0.273415,0.131462,0.188309,0.181318,0.341821,0.216551,0.118767,0.981628,0.844839,0.271605,0.174507,0.096682,1.628735,0.646282,0.38129,0.325767,0.121193,1.574367,0.412437,0.518505,0.505227,0.164484,1.41955,0.625884,1.010405,0.4412,0.185312,1.359859,0.642955,1.113142,0.698338,0.246803,0.544043,0.920132,1.538993,0.430128,0.171022,2.349623,0.241347,1.235314,0.643036,0.204671,0.726229,1.166203,1.249443,0.303077,0.184276,0
3.113925,0.43002,0.24235,0.068248,0.091028,0.484756,0.683679,0.831766,0.307452,0.157485,0.675149,1.068442,0.72697,0.269931,0.130168,0.149275,0.143516,0.393492,0.209632,0.124246,0.859334,0.837065,0.258815,0.159119,0.095309,1.36301,0.531869,0.367105,0.319658,0.112505,1.331916,0.369567,0.506945,0.518428,0.15483,1.172295,0.62316,1.001636,0.438351,0.193947,1.193835,0.726637,1.151516,0.657983,0.255734,0.457592,0.878762,1.511382,0.402044,0.17618,2.43868,0.311129,1.316092,0.601749,0.215017,0.545522,1.101454,1.312574,0.308948,0.185079,0
3.18871,0.36347,0.237952,0.075518,0.091737,0.322394,0.578955,0.811112,0.303494,0.161239,0.604437,0.933497,0.741491,0.261465,0.125633,0.127974,0.114708,0.430553,0.189486,0.130671,0.73916,0.823006,0.237832,0.145351,0.09659,1.083124,0.462053,0.337642,0.301291,0.1051,1.090593,0.385864,0.482302,0.50871,0.143418,0.902034,0.675456,0.943988,0.4347,0.198275,0.977421,0.783632,1.173021,0.615157,0.259586,0.39645,0.804558,1.363898,0.363653,0.182643,2.304272,0.422728,1.367042,0.571257,0.217906,0.43539,1.026685,1.301652,0.324813,0.185907,0
3.189433,0.28717,0.22312,0.088943,0.088903,0.238416,0.516369,0.753945,0.28959,0.160797,0.550145,0.814781,0.708931,0.24553,0.118881,0.121107,0.103583,0.447545,0.159114,0.134712,0.635896,0.805805,0.208168,0.136485,0.101753,0.850699,0.437005,0.303437,0.2749,0.099298,0.887612,0.45392,0.458683,0.480929,0.134903,0.656802,0.77038,0.852023,0.428345,0.199797,0.753045,0.811284,1.159387,0.580871,0.256454,0.361518,0.722574,1.120472,0.322115,0.18751,1.957023,0.576359,1.361608,0.555566,0.211766,0.368835,0.958495,1.197131,0.348613,0.185147,0
3.845074,0.221941,0.196725,0.10766,0.08153,0.222273,0.493188,0.660303,0.270562,0.158132,0.518909,0.715684,0.620372,0.228034,0.111994,0.125979,0.115165,0.440028,0.126526,0.133876,0.548065,0.774633,0.178061,0.138671,0.111936,0.699972,0.438585,0.276354,0.248843,0.095987,0.736939,0.542673,0.44734,0.445533,0.132596,0.478821,0.878647,0.747828,0.416221,0.201417,0.572452,0.80904,1.093186,0.560289,0.245865,0.352603,0.655382,0.83329,0.287918,0.187913,1.500037,0.753141,1.282235,0.556082,0.197698,0.319785,0.905425,1.011416,0.380352,0.180843,0
4.411028,0.184396,0.16587,0.129853,0.071179,0.245441,0.506872,0.543498,0.253958,0.155835,0.488991,0.646503,0.496283,0.217712,0.107442,0.144724,0.154997,0.409861,0.101993,0.127267,0.466272,0.711293,0.157133,0.155835,0.125722,0.629408,0.44231,0.257659,0.228363,0.094916,0.636007,0.619442,0.446146,0.411552,0.135504,0.386854,0.969013,0.646302,0.39619,0.204775,0.474114,0.789936,0.968107,0.549093,0.229608,0.349603,0.627643,0.566284,0.270425,0.182841,1.029662,0.922555,1.129903,0.572165,0.179787,0.262995,0.886585,0.791747,0.418574,0.172027,0
4.864579,0.175091,0.136699,0.15196,0.061231,0.276918,0.558227,0.426522,0.248354,0.156071,0.46635,0.628276,0.371996,0.223632,0.107303,0.179323,0.224763,0.362945,0.09281,0.116231,0.393152,0.606792,0.14814,0.185852,0.139528,0.61238,0.438088,0.239777,0.213949,0.095445,0.569853,0.668953,0.444977,0.383726,0.139569,0.371632,1.021955,0.557247,0.370017,0.209541,0.462939,0.778098,0.808546,0.538382,0.212303,0.352106,0.657773,0.372883,0.276132,0.174317,0.66058,1.066047,0.943751,0.601952,0.163983,0.211308,0.924993,0.602675,0.459144,0.159894,0
5.053229,0.186272,0.11502,0.169914,0.055045,0.309476,0.638416,0.335256,0.258852,0.159752,0.440986,0.666485,0.278287,0.250349,0.112681,0.225817,0.317255,0.307371,0.099222,0.104082,0.336601,0.475742,0.148739,0.220779,0.149375,0.620523,0.42805,0.216824,0.203404,0.097175,0.528554,0.690489,0.433875,0.362503,0.140977,0.410893,1.026512,0.485112,0.344893,0.214172,0.521414,0.790167,0.650291,0.522709,0.200265,0.350136,0.742751,0.275847,0.307582,0.167351,0.444337,1.176342,0.770328,0.642768,0.156243,0.17329,1.018669,0.48841,0.497156,0.147922,0
4.800488,0.211275,0.102348,0.18066,0.054365,0.357513,0.722238,0.286925,0.284632,0.166611,0.422115,0.743956,0.229153,0.29379,0.123289,0.272424,0.414284,0.252371,0.114931,0.094674,0.306741,0.35403,0.14925,0.25151,0.153023,0.62911,0.420356,0.188455,0.195853,0.100094,0.501299,0.690299,0.407556,0.34767,0.139184,0.468425,0.982446,0.430336,0.330369,0.216869,0.596597,0.821698,0.519296,0.500802,0.197156,0.345881,0.857857,0.266798,0.360468,0.166517,0.420199,1.264038,0.640155,0.685089,0.159549,0.17685,1.143937,0.453057,0.527977,0.140038,0
4.052639,0.246357,0.096297,0.183266,0.058502,0.434313,0.783281,0.277868,0.320302,0.175093,0.413851,0.843214,0.216084,0.343295,0.136431,0.303966,0.490333,0.202659,0.131259,0.090165,0.304164,0.273736,0.141871,0.271188,0.150337,0.616577,0.414193,0.164489,0.194694,0.104031,0.472976,0.670996,0.369343,0.34105,0.136613,0.520274,0.897583,0.391846,0.333485,0.215911,0.655263,0.853079,0.42651,0.473915,0.20189,0.330679,0.978099,0.309538,0.421756,0.172341,0.572708,1.351198,0.5617,0.712232,0.171953,0.235312,1.28768,0.467827,0.546026,0.138043,0
3.312597,0.294204,0.093502,0.179042,0.064723,0.54976,0.808922,0.288419,0.355093,0.182421,0.438035,0.948512,0.217056,0.386436,0.1478,0.309079,0.526431,0.157219,0.141361,0.08981,0.307901,0.249143,0.126495,0.277272,0.143416,0.569643,0.406153,0.155693,0.203996,0.10834,0.444486,0.634268,0.328786,0.343105,0.136388,0.570118,0.787157,0.36448,0.352121,0.210239,0.703354,0.876727,0.368736,0.444671,0.209582,0.330843,1.098106,0.361197,0.474891,0.18076,0.875734,1.468305,0.526683,0.71307,0.187593,0.381322,1.465927,0.489894,0.548735,0.140607,0
2.789111,0.362867,0.090517,0.170809,0.070083,0.674501,0.807417,0.295781,0.375185,0.185314,0.521485,1.047803,0.210664,0.41529,0.15333,0.287352,0.517173,0.11367,0.141214,0.090453,0.316313,0.279461,0.115281,0.274076,0.135062,0.499067,0.405012,0.164273,0.223578,0.111838,0.426813,0.586715,0.294455,0.347945,0.139611,0.634314,0.665966,0.341355,0.37397,0.199635,0.790964,0.905728,0.336611,0.417249,0.214421,0.394905,1.225692,0.388033,0.507438,0.185519,1.305617,1.644341,0.522831,0.683741,0.198512,0.660989,1.706511,0.483468,0.538438,0.14431,0
2.209805,0.461971,0.085473,0.16235,0.072997,0.789875,0.805956,0.287597,0.371674,0.18127,0.664088,1.138191,0.189012,0.431817,0.151327,0.244896,0.474759,0.076012,0.130717,0.088758,0.339076,0.34824,0.126827,0.271825,0.127114,0.426245,0.422694,0.184308,0.250539,0.113429,0.42677,0.542074,0.27068,0.349138,0.144931,0.717231,0.553002,0.317099,0.389565,0.185672,0.941256,0.969296,0.329447,0.400857,0.212515,0.547773,1.374085,0.379391,0.518871,0.182263,1.784372,1.8789,0.548548,0.631069,0.198788,1.084006,2.028265,0.441535,0.521108,0.145899,0
2.00734,0.597265,0.07843,0.157996,0.073144,0.863946,0.822333,0.268378,0.348372,0.170591,0.833486,1.211809,0.155176,0.444104,0.142501,0.194709,0.42079,0.05433,0.113413,0.08364,0.404297,0.435566,0.170359,0.280116,0.119824,0.371067,0.463512,0.205913,0.281194,0.112752,0.440362,0.512639,0.259844,0.344843,0.149451,0.80972,0.465745,0.290508,0.400379,0.171399,1.139306,1.086495,0.347667,0.408298,0.201884,0.768689,1.532911,0.342473,0.520086,0.170093,2.222037,2.142866,0.599042,0.572561,0.186859,1.571495,2.400288,0.37752,0.504241,0.143327,0
2.012858,0.752278,0.073805,0.161694,0.071452,0.880275,0.855012,0.25935,0.318984,0.156674,0.974753,1.242747,0.116998,0.460659,0.130091,0.150709,0.375237,0.059294,0.094707,0.077091,0.527172,0.523804,0.24421,0.30152,0.112479,0.351483,0.521929,0.223347,0.310439,0.109835,0.460111,0.507942,0.262987,0.336563,0.149908,0.887336,0.412936,0.268364,0.412989,0.159825,1.339397,1.240936,0.389178,0.44813,0.183485,0.994374,1.655731,0.295902,0.524959,0.152802,2.561207,2.371045,0.664548,0.526611,0.165909,2.017432,2.729413,0.318722,0.495817,0.13691,0
2.197139,0.899451,0.07751,0.174795,0.069149,0.834881,0.890212,0.284793,0.299022,0.143793,1.033969,1.208535,0.084521,0.48184,0.117073,0.128837,0.350756,0.096733,0.079951,0.072719,0.699626,0.594738,0.334396,0.32867,0.104424,0.380578,0.579943,0.235117,0.332258,0.104809,0.481008,0.525618,0.275462,0.325618,0.145038,0.928607,0.388144,0.259567,0.430756,0.152988,1.465926,1.376197,0.439732,0.516653,0.16133,1.143324,1.683279,0.260059,0.53834,0.135722,2.750269,2.491613,0.73024,0.501897,0.142101,2.297316,2.902949,0.290102,0.496821,0.128192,0
2.509731,1.004785,0.093035,0.193912,0.066893,0.742791,0.915646,0.352574,0.296478,0.134773,0.982795,1.108344,0.066122,0.498347,0.105415,0.138742,0.352301,0.161897,0.072872,0.073608,0.882218,0.630016,0.415069,0.347888,0.096366,0.450668,0.611789,0.244747,0.344347,0.098892,0.493536,0.547091,0.293051,0.31302,0.137233,0.90275,0.375304,0.271339,0.449845,0.151524,1.443283,1.426812,0.476753,0.593283,0.140388,1.156037,1.579813,0.245584,0.552534,0.122801,2.745625,2.458487,0.774952,0.493239,0.121422,2.327731,2.850061,0.297186,0.498932,0.118564,0
3.020951,1.044555,0.118427,0.212444,0.064986,0.633457,0.933211,0.450865,0.308665,0.13002,0.840657,0.965805,0.067848,0.49754,0.096253,0.177065,0.374004,0.240139,0.075878,0.080404,1.046512,0.624225,0.464651,0.346808,0.09074,0.547841,0.602029,0.256788,0.349364,0.094381,0.495652,0.547444,0.310533,0.301214,0.130944,0.819392,0.358313,0.301134,0.462869,0.154775,1.287788,1.357874,0.480745,0.651298,0.124824,1.045483,1.35795,0.250931,0.554321,0.115194,2.590606,2.264814,0.778206,0.487677,0.108353,2.108637,2.584377,0.323186,0.490871,0.109406,0
