AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA
34645.22657,3356.434627,4059.425288,965.778173,739.370378,38480.23256,3857.528806,4483.922911,969.598571,773.654601,35479.86024,3338.580393,3990.554617,904.671042,688.125578,5961.114168,789.122713,1188.70399,618.396679,392.488571,40543.69625,3912.63705,4556.360914,963.690109,768.174326,9381.851523,1192.537881,1774.017498,884.562516,520.780454,26645.72826,2521.504345,3300.07276,1026.075249,642.355404,21887.07096,2137.930593,2871.495287,1127.322649,588.908689,4058.485756,414.830121,557.632056,262.676037,151.67169,13183.43015,1328.555312,1768.091859,814.064397,450.637892,40187.9519,3929.054331,4575.619768,984.231209,776.781324,34648.53528,3278.33306,3962.461089,941.732199,718.646665
30572.44109,4367.519766,3924.73025,1241.163706,784.666646,33912.72181,5066.423194,4374.721317,1275.493593,821.314871,31265.44036,4379.389351,3870.890177,1174.324927,730.934274,5323.851996,945.244248,1118.447736,679.898327,405.956193,35644.79624,5159.234314,4454.747839,1268.911807,815.384086,8434.531644,1436.803156,1673.244303,969.326076,537.753114,23561.34589,3165.130562,3153.500257,1225.598079,679.794439,19419.51555,2631.42212,2721.015891,1275.845044,622.161118,3612.279681,501.804059,529.518027,290.575619,156.730598,11724.80662,1610.765798,1676.340973,899.184653,466.106105,35381.34243,5158.457705,4470.73345,1296.0151,824.525608,30571.38816,4269.427438,3835.520507,1214.446822,762.691768
26212.69239,5200.638775,3783.310296,1789.892886,906.202644,29191.54853,6055.546924,4253.31993,1896.857687,951.462447,26810.78016,5245.684873,3741.314422,1715.478593,847.731062,4564.333224,1059.184818,1026.511918,780.540964,437.384723,30620.32461,6184.448482,4339.359411,1894.979429,941.948082,7254.44698,1615.78655,1540.525964,1107.984717,579.716451,20069.21588,3684.764161,2965.552774,1595.636358,774.336461,16528.46048,3017.819889,2522.325374,1534.854204,697.40973,3075.988123,566.530458,491.456563,337.140586,169.0511,9969.656441,1822.575849,1551.656938,1040.372812,503.154587,30455.51053,6158.171731,4358.691606,1931.11421,952.265447,26219.43988,5087.405911,3703.4513,1757.356189,880.475418
23537.31099,5727.226676,3727.696235,2627.273471,1163.701454,26448.49314,6657.028403,4211.32392,2842.071786,1224.035329,24128.51729,5799.990868,3689.821317,2539.941019,1094.382554,4056.754678,1134.178183,955.660984,955.852408,521.838875,27678.52885,6810.08059,4299.961402,2848.732461,1204.906809,6399.516726,1725.768788,1435.717736,1348.501528,692.62853,17762.15387,4025.330814,2830.306071,2172.232296,981.451505,14546.4182,3267.860793,2365.607346,1956.268564,865.771737,2705.230458,608.652548,462.113254,416.956555,202.33886,8737.630903,1959.268982,1452.733669,1280.765829,602.106514,27597.43749,6750.663745,4328.847125,2895.6952,1216.972284,23562.67089,5604.388976,3654.531572,2584.876702,1129.902478
23433.7283,5927.922745,3815.141472,3652.654205,1558.702909,26572.10868,6841.142312,4302.539493,3985.42409,1636.537215,24114.14167,6018.234943,3772.6984,3545.124492,1471.063385,3990.63132,1189.912032,947.728739,1222.542858,678.503877,27740.88189,7001.701144,4388.817239,4001.67292,1600.543609,6169.390387,1789.506365,1416.953918,1712.249745,899.636873,17428.60877,4195.385601,2822.60751,2914.202002,1311.076985,14169.6123,3401.351415,2328.78702,2533.464262,1142.505296,2635.242486,638.22015,461.244254,536.516683,263.98111,8472.085766,2045.939648,1437.002391,1634.511453,782.711855,27715.29178,6907.338689,4431.506409,4059.848062,1614.885112,23488.61997,5801.422067,3743.941849,3597.481291,1512.51554
24996.25854,5850.694036,4006.071508,4645.082288,2013.371682,28434.62941,6671.176375,4476.374049,5070.96824,2103.198142,25796.80907,5947.687107,3951.985962,4512.154888,1902.511653,4283.67148,1248.664334,1028.488326,1555.26728,897.382741,29609.0227,6824.591559,4553.306565,5095.507711,2044.727049,6475.7763,1835.039146,1516.582485,2162.122554,1183.678928,18498.53119,4230.17442,2945.513196,3680.995865,1706.692846,15000.56711,3451.926884,2431.959192,3169.334537,1486.886486,2808.720692,668.173156,501.647624,684.454716,349.886077,8970.73328,2113.28658,1533.34719,2058.870444,1028.459637,29634.47791,6700.460764,4612.034728,5162.743335,2062.021869,25086.76381,5726.840658,3933.787948,4577.511882,1952.833849
26872.52298,5721.37239,4231.285735,5355.504738,2397.103264,30484.49815,6428.479668,4656.687238,5821.935737,2485.920522,27769.17875,5819.97246,4161.780786,5197.965055,2264.099999,4733.549622,1345.715278,1207.062274,1888.615915,1135.452621,31669.62223,6575.234913,4716.173099,5852.508116,2404.105973,7026.079283,1917.307327,1743.410895,2606.911942,1485.289361,19978.91052,4267.530211,3166.613934,4286.147497,2061.652128,16257.91986,3525.046807,2660.993298,3710.13885,1811.360678,3091.805812,720.873691,588.948452,832.373026,443.114312,9791.18881,2225.246009,1748.067004,2463.345614,1285.738437,31754.1372,6433.917548,4792.758052,5924.401268,2425.144235,27000.45028,5606.838285,4158.175447,5279.756894,2324.268592
28045.8501,5814.891474,4472.535481,5634.094397,2584.386494,31625.271,6452.375057,4833.686867,6080.706428,2656.456072,28984.39624,5916.041138,4387.711026,5458.925272,2437.115643,5159.683072,1517.559773,1481.493666,2151.937521,1330.419653,32795.26745,6610.919682,4870.60237,6115.335968,2556.807337,7555.193518,2096.804692,2095.291822,2950.173844,1723.006347,21045.45094,4469.014588,3469.453177,4595.709557,2264.766825,17256.7335,3739.294519,3002.955069,4029.789249,2017.421685,3363.464263,821.151622,724.193784,950.773704,519.361606,10529.8715,2447.600542,2076.186689,2758.07791,1482.871101,32946.61325,6467.854557,4967.046044,6186.471124,2582.129507,28203.84454,5713.932489,4400.45569,5556.012478,2505.206287
28126.45473,6297.841531,4744.603727,5519.576627,2520.115171,31505.76198,6939.203647,5048.136526,5892.16546,2562.41375,29056.71889,6401.144087,4650.836932,5330.706381,2369.974126,5436.827416,1811.260835,1821.420873,2350.388939,1437.771345,32650.35421,7134.425931,5066.151105,5926.230097,2455.447765,7877.990203,2442.66061,2533.798737,3192.194862,1839.542741,21305.79319,4934.918384,3832.74562,4623.607252,2259.393304,17632.31032,4175.771286,3421.364796,4130.942955,2048.562418,3549.567774,1006.702147,897.026427,1047.868997,562.494477,10940.8855,2840.330562,2475.14406,2939.103367,1569.442887,32875.89606,7005.252217,5183.136973,5991.394951,2484.712068,28305.22992,6209.045062,4676.003083,5439.983055,2441.96674
27081.93647,7402.7944,4997.523718,5225.578584,2257.428024,30138.64022,8119.015036,5275.392667,5478.814493,2264.183659,27945.66138,7498.770106,4908.52679,5010.896062,2113.376373,5541.514091,2351.522392,2166.730862,2595.778539,1459.330352,31248.22304,8380.43705,5287.130398,5500.611135,2162.14506,7967.143413,3136.9645,2972.192596,3469.932296,1838.135599,20684.87864,5871.724382,4169.051128,4541.98246,2080.056073,17297.34185,5036.849469,3813.542639,4167.759567,1925.945571,3634.612679,1366.512284,1084.130737,1181.510027,575.968312,10949.85386,3577.650931,2851.752338,3119.451937,1547.348589,31526.92535,8252.439248,5419.394426,5556.122096,2193.779854,27259.93323,7307.93261,4936.063381,5133.632111,2185.519622
25535.28256,9207.430453,5216.425751,5027.285016,1939.691415,28227.09626,10032.12364,5521.356375,5129.034679,1914.554268,26285.43472,9276.485473,5151.563404,4757.420511,1803.318389,5613.015635,3248.303581,2480.441822,3027.356966,1441.69245,29305.14219,10384.66401,5547.24542,5121.295677,1827.757912,8031.110534,4359.730652,3357.461683,3964.275392,1782.98909,19678.68246,7401.130193,4421.509723,4579.745065,1841.318172,16661.7035,6478.280325,4109.253012,4349.79934,1743.12074,3713.272778,1973.99217,1272.670965,1418.414734,580.582891,10817.2752,4817.917098,3145.58945,3453.022172,1471.82603,29344.28987,10198.95309,5695.828702,5167.68589,1858.430956,25670.80764,9067.929094,5165.099772,4900.945106,1874.311395
24826.90163,11540.59569,5375.715489,5070.405141,1728.255942,27254.70932,12437.57694,5756.243768,5006.160281,1683.362739,25456.94163,11551.6275,5351.409163,4713.46855,1593.523155,6017.549818,4535.743153,2733.958481,3684.164059,1447.010384,28341.28229,12888.76172,5814.024544,4953.174192,1617.5715,8553.119034,6180.446655,3653.246093,4732.648831,1760.6854,19357.63,9463.359463,4552.75426,4848.317142,1677.03384,16641.20824,8499.995609,4268.967949,4772.411589,1614.747595,4088.023502,2845.301387,1439.929935,1775.440727,602.038803,11177.17404,6598.938631,3328.350947,3999.881036,1418.269547,27248.61202,12639.24854,6011.735076,4989.321186,1640.280378,24863.45508,11303.58594,5334.473428,4886.65222,1664.865565
26873.88592,14186.68501,5474.6147,5323.739058,1725.462625,29301.13219,15068.54511,5938.849721,5100.756121,1678.4873,27441.23771,14107.11843,5487.657954,4864.548432,1583.425057,7580.704822,6264.475907,2916.591558,4458.692104,1518.636271,30553.79672,15615.64467,6033.877865,4998.915536,1634.914429,10563.53745,8670.666044,3869.331845,5650.454578,1833.877873,21287.32354,11934.62402,4584.900855,5290.980157,1673.061673,18653.43161,11023.04621,4325.189541,5362.486209,1616.635152,5547.756,4032.938932,1565.835665,2204.589081,657.512856,13145.07635,8884.591025,3426.684074,4677.825309,1440.46419,26550.15079,15326.90233,6335.293522,5010.191936,1637.056293,26777.95089,13802.74034,5436.877604,5071.661092,1657.622368
32646.67167,16675.25598,5604.185148,5642.187275,1953.472017,35327.4073,17449.93621,6104.02297,5302.975632,1925.275192,33178.0716,16493.68947,5616.263957,5099.112187,1797.457255,11136.19778,8310.706687,3052.387122,5120.483559,1662.58337,37018.91346,18070.05353,6225.712502,5171.133194,1902.601733,15143.82927,11641.34483,4089.000367,6439.449388,2016.828969,26302.56093,14407.02202,4639.610472,5726.320741,1846.289775,23560.49634,13649.17222,4409.307652,5913.078507,1763.882091,8905.600333,5486.521463,1649.924126,2599.252221,747.451174,17517.03172,11343.22715,3524.048557,5280.812977,1550.92377,27758.76143,17767.54432,6675.539978,5134.255911,1869.430394,32404.52462,16124.48053,5551.330442,5334.794842,1876.279708
41587.7536,18405.33333,5906.416761,5824.310505,2360.755502,44588.18633,18986.13612,6357.190027,5448.007889,2371.268473,42005.99015,18117.72377,5848.632328,5252.772013,2188.219214,16814.72101,10322.60496,3177.669592,5411.0549,1845.880806,46995.78353,19621.72202,6483.237488,5328.115909,2367.334052,22489.31732,14568.55804,4402.449338,6781.050158,2271.243875,34006.46226,16288.58474,4876.201856,5924.068373,2151.535361,31098.40249,15742.45032,4676.958198,6169.258385,2015.446878,14326.42826,6990.10075,1706.449399,2831.917804,854.147038,24176.89499,13398.75637,3709.394892,5563.359651,1720.455217,30591.46663,19314.39015,7084.140452,5224.792306,2289.516994,41187.9282,17691.039,5807.943408,5501.26444,2272.104346
51448.71238,18876.10628,6476.27693,5740.943882,2841.244373,54615.32791,19191.96537,6792.227963,5424.655943,2904.248362,51610.67927,18471.60539,6268.598789,5214.503063,2653.630237,23635.10962,11809.99374,3306.132415,5177.329753,2008.933731,57877.65976,19754.28431,6896.250519,5367.015272,2916.382839,31346.06932,16736.11806,4830.097882,6483.361342,2519.325926,42550.0055,17032.43681,5384.441782,5743.447038,2500.949681,39575.79731,16680.33335,5197.291832,5973.485981,2292.837141,20908.08607,8200.532081,1748.456489,2814.496609,947.200402,31753.21682,14449.74889,4009.452571,5371.763933,1890.888172,34028.01712,19435.84504,7596.379336,5195.69219,2796.542393,50894.62744,18014.2931,6294.342143,5454.474538,2741.674722
58979.70097,17903.56274,7211.107953,5381.241648,3267.685891,62000.18178,17903.65349,7343.321179,5211.233817,3385.722422,58736.56354,17356.92963,6799.197575,4964.91942,3069.063652,29734.05065,12337.63136,3386.493762,4449.868174,2090.994832,66021.40762,18295.44813,7404.086376,5253.120064,3409.692778,39335.86558,17520.79086,5253.005588,5580.972633,2675.562106,49197.10296,16386.92161,6053.753004,5193.650144,2795.25667,46398.0248,16144.74834,5839.514811,5338.788156,2510.604963,26880.09338,8774.251441,1762.126201,2538.743008,995.510234,38031.38094,14145.04193,4324.785501,4719.774735,1999.877463,36612.69055,17965.19567,8113.26425,5034.093409,3263.94656,58291.98153,16912.83982,6916.376158,5176.33071,3159.39087
61234.25364,15762.95725,7851.563278,4804.622374,3515.628171,63823.37355,15444.36594,7809.669051,4822.804536,3677.582368,60581.89416,15057.37999,7237.318723,4531.946265,3312.499115,32983.45084,11702.6811,3344.651424,3422.56763,2048.306501,68238.78823,15599.04141,7819.086308,4970.210622,3707.143503,43694.19366,16642.34803,5479.81062,4310.126761,2671.619148,51399.50366,14540.45126,6629.767771,4395.6889,2942.979715,49006.06157,14287.44382,6342.176863,4415.694152,2594.767393,30190.38575,8503.616314,1722.158221,2075.817544,977.278175,40723.93386,12553.32465,4494.025287,3770.105391,1997.96708,37090.67101,15272.63255,8436.551093,4740.159786,3559.954597,60473.30763,14671.48575,7439.745006,4702.004853,3402.214628
56482.34236,12903.28396,8039.801866,4075.099351,3481.855559,58373.71989,12313.85041,7879.739113,4260.33988,3664.396328,55494.29225,12053.31608,7289.439869,3939.305635,3283.672113,32060.47905,10004.17588,3109.656867,2352.849534,1863.258458,62624.3447,12220.57389,7844.671665,4484.086857,3692.776288,42656.66765,14253.00108,5319.436982,2984.448088,2472.07228,47675.93389,11905.10161,6790.431671,3496.884267,2871.119402,45908.20801,11552.70241,6406.918108,3397.608534,2491.236859,29544.42149,7402.887661,1598.017666,1538.506439,885.525999,38502.43379,10065.77715,4356.965093,2745.105377,1856.932186,34293.95892,11928.68172,8297.156239,4282.615767,3568.476368,55707.74296,11761.0059,7541.497216,4065.129502,3368.721287
45726.6978,9857.975877,7491.532081,3251.876769,3132.873225,46877.06112,9089.854515,7279.697792,3532.406971,3307.139114,44624.31401,8920.614523,6711.555943,3215.485354,2951.333204,27064.74352,7648.395996,2657.933411,1456.761269,1558.450483,50435.23582,8801.576334,7215.153595,3781.691191,3328.976642,36264.44143,10934.19273,4689.59216,1868.770291,2097.253509,38800.35385,9022.625932,6304.384804,2619.123329,2560.486059,37708.82333,8554.618437,5847.521152,2447.236252,2193.507997,25020.99758,5735.235562,1373.926512,1035.870177,733.892179,31800.09713,7277.495196,3835.667625,1837.330783,1587.568972,28443.9881,8578.33909,7481.680494,3636.419885,3243.081281,45037.42162,8738.927856,6964.203029,3302.24107,3027.012294
31743.34649,7129.898614,6221.594505,2401.853388,2528.040917,32223.1829,6302.437599,6007.329978,2690.207892,2669.67185,30722.24751,6195.801628,5518.088111,2417.047747,2374.893313,19537.98103,5198.588496,2058.063897,832.559384,1186.08504,34761.35956,5921.132259,5928.369513,2913.070299,2682.457532,26476.16479,7482.920376,3697.730299,1084.719331,1613.837565,27091.5905,6420.087486,5210.415408,1839.086126,2059.667836,26610.01344,5886.626757,4740.794724,1656.144,1748.749208,18054.06118,3914.98335,1075.372335,636.018411,550.671708,22503.41575,4782.351963,3017.851176,1147.295748,1234.686258,20686.60925,5804.092907,6046.268869,2826.395748,2636.73559,31194.7143,6120.156099,5730.137612,2473.28366,2436.869384
18658.50923,4995.696723,4538.677603,1609.668082,1801.36541,18700.12256,4231.016023,4351.296376,1840.780994,1898.461242,17871.61327,4167.525626,3985.531168,1637.752477,1685.08792,11825.77487,3132.687983,1426.110286,456.828564,808.066907,20199.92189,3867.28511,4271.663719,2002.609812,1902.706253,16324.81673,4567.755738,2571.711896,607.071228,1108.760847,16036.62578,4403.400008,3787.525375,1196.237881,1470.466419,15946.57679,3884.563629,3372.84537,1049.69297,1242.670158,10860.03436,2329.105365,753.268883,355.891205,368.145215,13444.22398,2933.41807,2099.555286,679.135319,860.080948,13231.48935,3865.615276,4295.521357,1950.870589,1885.873743,18274.75977,4176.122711,4136.020311,1671.630387,1730.712815
9537.273922,3555.739582,2908.587194,983.556621,1114.693298,9422.693208,2935.388004,2768.853741,1135.736398,1169.751062,9038.156803,2905.214429,2533.43936,1004.062202,1037.253878,5886.054162,1729.992051,873.920712,254.067347,485.368435,10136.57073,2656.549378,2702.979233,1227.130254,1168.023872,8415.191953,2579.704115,1555.390795,348.659133,670.602739,8252.099883,3097.122412,2418.970188,725.071241,916.403533,8282.089537,2654.56494,2095.785794,630.577103,776.172412,5289.899716,1224.776469,462.542461,181.72689,215.797955,6807.844891,1831.204437,1285.277957,392.33563,530.034531,7967.318354,2709.918779,2650.801142,1166.020561,1162.321622,9299.70281,2974.609625,2621.518073,1022.055368,1066.75447
