AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA
1.278466,1.778716,0.546531,0.492347,0.219798,2.016452,1.746482,0.566823,0.418799,0.285505,3.463158,2.714081,0.788646,0.75866,0.27939,1.119189,0.734523,0.245724,0.27844,0.20963,0.927723,2.965445,1.019097,1.016337,0.623922,1.178903,1.572396,0.977561,0.773279,0.631507,1.740713,3.060218,1.667269,1.16743,0.462709,2.002592,2.00083,0.590191,0.731342,0.208742,2.61144,4.393542,0.799686,1.174754,0.331571,3.637686,3.900887,0.90511,0.910784,0.302493,5.351864,3.11506,1.016131,1.485314,0.377327,3.11395,5.541267,1.241098,0.892656,0.252952
1.251353,1.879973,0.644509,0.403322,0.231901,1.879236,1.871437,0.639227,0.352061,0.313971,2.642567,2.303333,0.913934,0.629618,0.312688,1.123756,0.784072,0.260371,0.294367,0.219083,0.927801,2.71736,1.020761,1.055725,0.596178,1.15168,1.406686,1.11743,0.79035,0.616138,1.655741,2.968829,1.872068,1.151136,0.465139,1.693361,1.935371,0.733591,0.735614,0.220193,1.94449,4.227094,0.903552,1.109515,0.341475,2.969267,3.553643,1.026451,0.799973,0.337028,5.049519,2.820332,1.170031,1.37669,0.368892,2.519892,5.339239,1.504297,0.765815,0.266997
1.289745,1.926946,0.777034,0.318688,0.257485,1.591746,1.988284,0.783209,0.296286,0.35276,1.89095,1.978368,1.009853,0.507844,0.354991,1.073598,0.771818,0.26117,0.300506,0.223926,1.018964,2.260791,0.975562,1.032246,0.568222,1.019346,1.210871,1.164732,0.762499,0.619271,1.419986,2.655561,1.937449,1.070895,0.480359,1.481811,1.772594,0.846818,0.691503,0.25107,1.615509,3.883658,0.992193,0.991145,0.351984,2.336526,3.091155,1.079142,0.671151,0.372618,4.958998,2.564308,1.295375,1.194987,0.369252,2.085735,4.774057,1.642509,0.624979,0.296174
1.208794,1.893828,0.919368,0.248519,0.296914,1.25936,2.078863,0.976047,0.251408,0.404936,1.190851,1.79627,1.063069,0.400979,0.404749,0.944478,0.696592,0.25009,0.291348,0.230423,1.098667,1.73691,0.921034,0.960292,0.566321,0.847131,1.028671,1.129396,0.701986,0.643524,1.101028,2.214836,1.839326,0.941569,0.509941,1.278906,1.55241,0.899532,0.61513,0.300085,1.227332,3.42849,1.08677,0.828107,0.3692,1.647086,2.633603,1.064803,0.53438,0.404429,4.432221,2.367365,1.40562,0.969178,0.386777,1.673959,4.042129,1.634051,0.482869,0.341523
1.118488,1.784589,1.05342,0.198963,0.346356,0.979564,2.127277,1.187896,0.214761,0.468497,0.756609,1.751623,1.079634,0.31483,0.458669,0.785315,0.580983,0.236433,0.26691,0.243905,1.177133,1.292067,0.898609,0.864905,0.601212,0.666418,0.907406,1.048213,0.625006,0.681371,0.776875,1.790337,1.637373,0.79963,0.545469,1.154402,1.322574,0.899061,0.531527,0.356262,1.066016,2.951051,1.211093,0.652804,0.397545,1.132425,2.273107,1.018178,0.40897,0.429169,4.32831,2.235705,1.517002,0.751514,0.425291,1.387845,3.340008,1.525643,0.357665,0.39805
0.960314,1.619909,1.163301,0.175363,0.399527,0.809316,2.135474,1.391697,0.189174,0.536359,0.54506,1.768327,1.072086,0.256636,0.512977,0.583538,0.465217,0.226769,0.231925,0.264904,1.210005,1.010011,0.93753,0.774691,0.660962,0.552289,0.858635,0.949847,0.547444,0.71949,0.52738,1.49241,1.435936,0.691036,0.574524,1.033425,1.113623,0.875247,0.464057,0.402994,0.932799,2.504441,1.36747,0.50912,0.437253,0.779659,2.016604,0.980576,0.321714,0.446238,4.356196,2.139573,1.634026,0.594312,0.480245,1.214435,2.780646,1.408756,0.269313,0.456294
0.874905,1.427481,1.239072,0.180757,0.449294,0.811303,2.128768,1.568546,0.1802,0.59959,0.560464,1.747966,1.06355,0.234726,0.563018,0.433083,0.388445,0.225914,0.196041,0.289204,1.269521,0.884528,1.053682,0.715569,0.717789,0.495321,0.855759,0.858302,0.482458,0.744209,0.438189,1.362993,1.350125,0.647181,0.588499,0.949164,0.943258,0.87546,0.424371,0.42645,0.991079,2.118352,1.55496,0.429923,0.484349,0.669828,1.815496,1.001332,0.295432,0.456277,4.797549,2.037204,1.760897,0.525111,0.539724,1.168015,2.382756,1.370156,0.229716,0.505146
0.814832,1.238722,1.275395,0.211242,0.489119,0.943026,2.136394,1.696062,0.188579,0.650272,0.743532,1.644683,1.086868,0.254477,0.603283,0.317363,0.375685,0.239469,0.172616,0.310052,1.35334,0.847909,1.235377,0.704383,0.74387,0.521214,0.861264,0.79251,0.439351,0.747861,0.584878,1.378145,1.456468,0.676271,0.587041,0.907994,0.824989,0.93599,0.411704,0.423889,1.264584,1.831652,1.777706,0.426154,0.534269,0.809014,1.633581,1.12694,0.338592,0.459992,5.410885,1.937955,1.908276,0.53385,0.592468,1.274518,2.113721,1.45067,0.237018,0.535937
0.972694,1.076787,1.270841,0.258458,0.514355,1.228505,2.176204,1.750715,0.212344,0.683064,1.196525,1.466165,1.172883,0.311099,0.628546,0.313726,0.427717,0.268546,0.173634,0.321731,1.490191,0.823517,1.451609,0.756502,0.7281,0.585891,0.861482,0.770324,0.426408,0.733691,0.994602,1.474721,1.746914,0.759155,0.576072,0.997138,0.771604,1.064231,0.413448,0.404482,1.948888,1.665444,2.031572,0.4815,0.586036,1.382495,1.458418,1.375768,0.437569,0.458561,6.212964,1.899491,2.077674,0.582825,0.633106,1.687876,1.927351,1.640512,0.27489,0.546395
1.249456,0.958891,1.226045,0.314165,0.523165,1.624086,2.244264,1.709854,0.246847,0.694944,1.859101,1.261379,1.313051,0.390969,0.634674,0.366028,0.518097,0.306038,0.203418,0.321548,1.668971,0.763908,1.651004,0.878671,0.68371,0.729862,0.851434,0.785885,0.458115,0.712884,1.642843,1.564273,2.099858,0.869049,0.565303,1.179471,0.781471,1.223606,0.418451,0.383659,2.911782,1.611064,2.28537,0.57027,0.640409,2.257476,1.303435,1.699384,0.563545,0.453575,6.918287,1.957952,2.249967,0.639131,0.661047,2.365971,1.787758,1.872546,0.324308,0.540155
